HD ID,Main ID,HIP ID,HR ID,RA,DEC,Spectral Type,GAIA,GAIA or Hipparcos,Mag,Mag error,LD Diameter [mas],LD Diameter error [mas],Bolometric Flux [10^(-8) erg/s cm^2],Bolometric Flux Error,Bolometric Absolute Magnitude,Parallax [mas],Parallax Error,Distance [pc],Distance error,Radius [R_sun],Radius error,Teff [K],Teff error,Luminosity [L_sun],Luminosity error,Methods of Measurement,Exoplanet Host?,Diameter Sources,Bolometric Flux Sources,ra_deg,dec_deg
HD3489,HD   3489,HIP 3030,,00 38 33.4415,+60 19 29.216,K3Ib-II,Gaia DR3 427075643662759936,GAIA,6.13681,0.002771,1.415,0.059,16.13,0.77,,1.0816,0.0177,924.556213,15.13003418,140.9000756,6.311265684,3943.953498,94.74264508,4304.270974,249.1292018,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,9.639339583333332,60.324782222222225
HD13658,V* V550 Per,HIP 10489,,02 15 13.2970,+58 08 32.312,M0-M1I,Gaia DR3 458754807039765632,GAIA,7.592424,0.003012,1.556,0.075,16.67,0.59,,0.3509,0.0195,2849.814762,158.3681615,477.5817134,35.13219344,3792.106426,97.35553423,42263.69442,4929.725345,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,33.80540416666666,58.14230888888889
HD14404,V* PR Per,HIP 10995,,02 21 42.4097,+57 51 46.144,M1-Iab-Ib,Gaia DR3 458512570887734528,GAIA,6.66846,0.003055,2.19,0.024,28.24,0.68,,0.3621,0.0239,2761.668048,182.2807687,651.3839524,43.58244451,3646.66215,29.68453512,67236.67634,9022.213773,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,35.426707083333326,57.86281777777778
HD4817,HD   4817,HIP 3988,HR   237,00 51 16.3831,+61 48 19.779,K2.5Ib-IICN-1,Gaia DR3 427499264872921472,GAIA,5.190644,0.002893,2.86,0.025,52.56,2.24,,0.9903,0.0386,1009.795012,39.35987827,311.0432056,12.42500193,3727.196042,42.92276255,16730.94198,1486.462586,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,12.818262916666665,61.80549416666666
HD30178,HD  30178,HIP 22261,,04 47 35.5901,+45 59 58.804,M2Ib,Gaia DR3 254738770936135424,GAIA,6.589089,0.002814,1.862,0.037,22.88,1.29,,5.0516,0.0195,197.9570829,0.76414663,39.69832538,0.8035962148,3752.110159,64.70536838,279.8960085,15.92810943,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,71.89829208333332,45.99966777777778
HD236979,V* YZ Per,HIP 12302,,02 38 25.4198,+57 02 46.194,M1Iab,Gaia DR3 457842074948669056,GAIA,6.486851,0.006741,2.818,0.043,43.15,1.35,,0.4175,0.0251,2395.209581,143.9994263,726.9523987,45.08994655,3574.177523,39.05291192,77279.87923,9601.498448,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,39.60591583333333,57.046164999999995
HD28487,V* V1145 Tau,HIP 20958,,04 29 38.9419,+05 09 51.372,M3.5IIICa-0.5,Gaia DR3 3285406714492726784,GAIA,5.73827,0.003096,2.893,0.043,45.04,2.74,,2.8856,0.0371,346.5483782,4.455553379,107.9776246,2.122038021,3565.552146,60.35536148,1688.591962,111.5248027,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,67.41225791666666,5.16427
HIP35915,V* ZZ CMi,HIP 35915,,07 24 13.9974,+08 53 51.786,M6I-IIep,Gaia DR3 3155368612444708096,GAIA,7.797572,0.004952,1.892060716,0.037548476,10.8,0.8,,0.7644,0.0516,1308.215594,88.30968687,266.5850897,18.7570887,3085.246144,64.81912847,5770.06882,888.5547747,Opt Int,Not a host,"2009MNRAS.394.1925V, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,111.0583225,8.897718333333334
HD236947,HD 236947,HIP 9886,,02 07 12.0545,+58 47 15.904,M2III,Gaia DR3 506975882341073152,GAIA,7.389832,0.002808,1.644,0.067,17.52,0.52,,0.387,0.0227,2583.979328,151.5667461,457.5223488,32.67835456,3735.373492,81.00552863,36518.31799,4419.04613,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,31.80022708333333,58.787751111111106
HD236915,V* V778 Cas,HIP 9211,,01 58 28.9111,+59 16 08.780,M2Iab,Gaia DR3 507801821730480000,GAIA,6.962564,0.003404,2.023,0.094,27.45,1.28,,0.4633,0.0234,2158.428664,109.0162546,470.2784168,32.27506944,3767.376804,97.92735878,39922.37251,4441.675759,Opt Int,Not a host,2009MNRAS.394.1925V,Diameter source,29.620462916666664,59.269105555555555
HD192781,HD 192781,HIP 99663,HR  7742,20 13 27.6162,+60 38 26.050,K5III,Gaia DR3 2237040042612803328,GAIA,5.262661,0.002815,1.859,0.002,40.9,4.5,,5.3815,0.045,185.8217969,1.553838309,37.20467457,0.3136691034,4342.027261,119.4551269,440.8747364,49.06416972,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),303.36506749999995,60.640569444444445
HD152812,HD 152812,HIP 82611,"** CHR   58, HR  6286",16 53 17.5500,+47 25 00.163,K2III,Gaia DR3 1407880457039926912,GAIA,5.555265,0.002819,1.44,0.003,21.4,2.9,,4.5069,0.2816,221.8820032,13.86362513,34.41169264,2.151305282,4195.885332,142.2174984,328.894434,60.62733035,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),253.32312499999995,47.416711944444444
HD102328,HD 102328,HIP 57477,HR  4521,11 46 55.6222,+55 37 41.480,K2.5IIIbCN1,Gaia DR3 841920040781646080,GAIA,4.887915,0.002811,1.606,0.006,31.0,2.8,,14.8962,0.0627,67.13121467,0.282563819,11.61158515,0.06534999,4358.821322,98.76120946,43.61233093,3.956250378,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),176.73175916666668,55.62818888888889
HD103605,*  66 UMa,HIP 58181,HR  4566,11 55 58.4171,+56 35 54.807,K1III,Gaia DR3 842067272260382336,GAIA,5.531869,0.002782,1.098,0.009,18.8,1.7,,10.6761,0.0348,93.6671631,0.305319103,11.07671986,0.097708565,4651.999999,106.8791418,51.49098235,4.668184285,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),178.9934045833333,56.598557500000005
HD157681,HD 157681,HIP 84950,HR  6479,17 21 45.3683,+53 25 13.548,K4III,Gaia DR3 1419240920415509376,GAIA,5.149156,0.002843,1.78341994,0.006430902,38.5,3.4,,4.2306,0.0449,236.3730913,2.508663499,45.40180487,0.5089090302,4366.563569,96.72557691,671.5144982,60.99152286,"Opt Int, Opt Int",Not a host,"2010ApJ...710.1365B, 2016AJ....152...66B, https://ui.adsabs.harvard.edu/abs/2016AJ....152...66B/abstract",Diameter source,260.43903458333335,53.420429999999996
HD60294,HD  60294,HIP 37046,HR  2894,07 36 47.0350,+55 45 18.225,K2III,Gaia DR3 986087180781907712,GAIA,5.617978,0.002788,1.044,0.01,15.6,1.0,,11.7198,0.0337,85.32568815,0.245351942,9.594045264,0.095948543,4553.363417,76.15945045,35.45543285,2.281912365,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),114.19597916666665,55.7550625
HD160290,* y Her,HIP 86182,HR  6574,17 36 37.6537,+48 35 08.277,K1III,Gaia DR3 1366858193604257792,GAIA,5.004649,0.002838,1.515,0.01,31.2,2.7,,9.1191,0.0506,109.6599445,0.608480354,17.89295705,0.1542927223,4495.041915,98.37353389,117.1248996,10.21881138,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),264.1568904166666,48.5856325
HD139357,HD 139357,HIP 76311,HR  5811,15 35 16.1985,+53 55 19.709,K4III:,Gaia DR3 1597757387783227008,GAIA,5.629723,0.002834,1.073,0.012,16.9,1.2,,8.8114,0.046,113.4893434,0.592472229,13.11524084,0.1618691575,4582.191431,85.28087693,67.95093948,4.876802126,Opt Int,Host star,2010ApJ...710.1365B,Baines et al. (2010),233.81749374999998,53.92214138888889
HD167042,HD 167042,HIP 89047,HR  6817,18 10 31.6398,+54 17 11.592,K1III,Gaia DR3 2149564787289902848,GAIA,5.725761,0.002804,0.8894417244,0.006212943,14.26,0.55,,20.1313,0.0293,49.67389091,0.072297616,4.758467887,0.033952783,4823.613986,49.46811833,10.98435292,0.4248650337,"Opt Int, Opt Int, Opt Int, Opt Int",Host star,"2010ApJ...710.1365B, 2016A&A...586A..94L, 2018MNRAS.477.4403W, 2020A&A...640A...2S, https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.4403W/abstract",Diameter source,272.6318325,54.28655333333333
HD73108,* pi.02 UMa,HIP 42527,HR  3403,08 40 12.8171,+64 19 40.570,K1+III,Gaia DR3 1092230803512999424,GAIA,4.222566,0.00286,2.225,0.019,58.3,5.2,,13.2035,0.1164,75.73749385,0.667689952,18.14940577,0.2227570231,4336.641732,98.45716148,104.3972382,9.491778789,Opt Int,Host star,2010ApJ...710.1365B,Baines et al. (2010),130.05340458333333,64.32793611111111
HD186815,HD 186815,HIP 97070,HR  7526,19 43 39.4962,+57 02 33.777,K2III,Gaia DR3 2235207672124492288,GAIA,6.048093,0.002766,0.731,0.02,9.6,0.4,,12.2335,0.0174,81.74275555,0.116264679,6.435586257,0.176313997,4819.59487,82.86989612,20.02480864,0.8363092605,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),295.9145675,57.04271583333333
HD136726,*  11 UMi,HIP 74793,HR  5714,15 17 05.8894,+71 49 26.047,K4III,Gaia DR3 1696798367260229376,GAIA,4.556678,0.002933,2.223434161,0.01261814,56.0,3.0,,7.926,0.0874,126.1670452,1.391243975,30.21284836,0.374689411,4294.734129,58.79555672,278.2777514,16.12157152,"Opt Int, Opt Int, Opt Int",Host star,"2010ApJ...710.1365B, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,229.27453916666664,71.82390194444444
HD113049,HD 113049,HIP 63340,HR  4927,12 58 47.3396,+75 28 21.079,K0III,Gaia DR3 1691904445300843392,GAIA,5.723802,0.0028,0.971,0.021,13.9,0.9,,6.6147,0.2267,151.1784359,5.181210247,15.80995168,0.6407060981,4587.177008,89.29743556,99.1729176,9.351039087,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),194.6972483333333,75.47252194444445
HD32518,HD  32518,HIP 24003,HR  1636,05 09 36.7203,+69 38 21.854,K1III,Gaia DR3 497653157602636928,GAIA,6.128958,0.00276,0.851,0.022,10.8,0.9,,8.2192,0.0166,121.6663422,0.245724801,11.1511967,0.2891584596,4600.367986,112.7895838,49.90720551,4.16381668,Opt Int,Host star,2010ApJ...710.1365B,Baines et al. (2010),77.40300125,69.63940388888889
HD175823,HD 175823,HIP 92731,HR  7153,18 53 46.3094,+57 29 11.606,K5III:,Gaia DR3 2153625661689553408,GAIA,5.864479,0.002785,0.988,0.022,13.4,1.2,,5.4501,0.0174,183.4828719,0.585787778,19.52423106,0.4391959141,4506.082523,112.6684945,140.8297638,12.64363808,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),283.44295583333326,57.486557222222224
HD176408,*  48 Dra,HIP 92997,HR  7175,18 56 45.0357,+57 48 53.339,K1III,Gaia DR3 2153721284841108096,GAIA,5.342968,0.002847,1.125,0.022,21.9,1.9,,11.3105,0.0524,88.41342116,0.409607291,10.71253326,0.2152881194,4774.591067,113.5950624,53.44155679,4.662849382,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),284.18764874999994,57.814816388888886
HD106574,HD 106574,HIP 59746,HR  4659,12 15 08.4919,+70 12 00.030,K2III,Gaia DR3 1683875089840663168,GAIA,5.359708,0.002835,1.498,0.027,21.4,2.0,,6.9259,0.0489,144.3855672,1.01942769,23.29469677,0.450928861,4113.854718,103.0202894,139.2707563,13.16369282,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),183.78538291666663,70.20000833333333
HD150010,HD 150010,HIP 80920,HR  6180,16 31 28.2272,+72 36 44.417,K2III,Gaia DR3 1654516686269888896,GAIA,5.872678,0.002785,1.024,0.028,15.3,1.9,,7.0651,0.0228,141.5408133,0.456770682,15.61000738,0.429798539,4575.349697,155.2088413,95.68710132,11.89875034,Opt Int,Host star,2010ApJ...710.1365B,Baines et al. (2010),247.8676133333333,72.61233805555555
HD137443,HD 137443,HIP 75260,HR  5737,15 22 38.4084,+63 20 29.274,K4III,Gaia DR3 1640795227831970432,GAIA,5.308099,0.002803,1.69,0.03,24.1,2.9,,8.3151,0.0577,120.2631357,0.834527899,21.88974452,0.4172091571,3989.902858,125.1434093,108.8129748,13.18047538,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),230.660035,63.341465
HD118904,HD 118904,HIP 66435,HR  5139,13 37 10.9876,+71 14 32.097,K2III,Gaia DR3 1687031134888475008,GAIA,5.136686,0.002829,1.871,0.031,27.3,2.9,,7.9077,0.0541,126.459021,0.865160923,25.48267807,0.4567917414,3912.05707,108.8292279,136.289021,14.59719608,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),204.29578166666667,71.24224916666667
HD138265,HD 138265,HIP 75696,HR  5755,15 27 51.4237,+60 40 12.796,K5III,Gaia DR3 1615529687576202880,GAIA,5.349001,0.002833,2.062,0.037,28.2,4.9,,5.2481,0.04,190.5451497,1.452298163,42.31633282,0.8249730229,3756.811116,166.6391764,319.62703,55.75133898,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),231.96426541666662,60.67022111111111
HD195820,HD 195820,HIP 101245,HR  7854,20 31 21.1513,+52 18 34.284,K0III,Gaia DR3 2181544426593974400,GAIA,5.93526,0.002776,0.863,0.04,12.2,0.7,,8.6119,0.02,116.1183943,0.26966963,10.79277895,0.5008722226,4709.621154,128.3609076,51.35236723,2.956085691,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),307.8381304166666,52.30952333333333
HD170693,*  42 Dra,HIP 90344,HR  6945,18 25 59.1369,+65 33 48.531,K1.5IIIFe-1,Gaia DR3 2256800156349110528,GAIA,4.449502,0.002925,2.067455188,0.004991775,69.0,6.0,,11.056,0.0841,90.44862518,0.688018214,20.14000342,0.1607317631,4692.406566,102.1660074,176.2185506,15.55610216,"Opt Int, Opt Int, Opt Int, Opt Int, Opt Int",Host star,"2010ApJ...710.1365B, 2012A&A...545A...5L, 2016A&A...586A..94L, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,276.49640375,65.56348083333333
HD200205,HD 200205,HIP 103598,HR  8049,20 59 25.3846,+59 26 18.960,K4III,Gaia DR3 2190891581091291520,GAIA,5.049916,0.00285,2.032,0.043,51.2,5.4,,4.7995,0.0543,208.355037,2.357261904,45.5983547,1.094175163,4392.95801,124.8079475,693.8675275,74.84658196,Opt Int,Not a host,2010ApJ...710.1365B,Baines et al. (2010),314.8557691666666,59.438599999999994
HD49933,HD  49933,HIP 32851,HR  2530,06 50 49.8309,-00 32 27.167,F3V,Gaia DR3 3113219383954556416,GAIA,5.668595,0.002837,0.445,0.012,12.78,0.08,,33.5335,0.0431,29.82092534,0.038328295,1.429231539,0.038584828,6635.201583,90.06397904,3.54790252,0.024008752,Opt Int,Not a host,2011A&A...534L...3B,Boyajian et al. (2013),102.70762874999998,-0.5408797222222222
HD216228,* iot Cep,HIP 112724,HR  8694,22 49 40.8174,+66 12 01.458,K0-III,Gaia DR3 2211820991085587584,GAIA,3.222498,0.003124,2.646,0.048,140.0,7.0,,27.2869,0.1309,36.64762212,0.17580501,10.44376535,0.19596853,4950.379604,76.45416128,58.69731441,2.988409061,Opt Int,Not a host,2011A&A...535A..59B,2023ApJS..266…6A,342.4200725,66.200405
HD6805,* eta Cet,HIP 5364,HR   334,01 08 35.3913,-10 10 56.151,K2-IIIb,Gaia DR3 2470140321630664064,GAIA,3.132648,0.00291,3.306203853,0.011966392,199.0,4.0,,27.0603,0.1799,36.95450531,0.24567782,13.15886664,0.099606028,4835.594433,25.82717039,84.83722543,2.044594665,Opt Int,Not a host,"2011A&A...535A..59B, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,17.147463749999996,-10.182264166666666
HD148293,HD 148293,HIP 80161,HR  6126,16 21 48.7107,+69 06 33.814,K2III,Gaia DR3 1649746523792049408,GAIA,4.959169,0.002974,1.48,0.06,28.9,2.8,,11.416,0.07,87.59635599,0.537118511,13.962694,0.5724932233,4461.64505,140.9175579,69.22588503,6.760521382,Opt Int,Not a host,2011ApJ...731..132B,Baines et al. (2011a),245.45296125000002,69.10939277777777
HD29391,*  51 Eri,HIP 21547,HR  1474,04 37 36.1326,-02 28 24.775,F0IV,Gaia DR3 3205095125321700480,GAIA,5.141171,0.002834,0.518,0.009,20.5,0.3,,33.439,0.0777,29.90520051,0.069488743,1.668391403,0.02924558,6921.098006,65.23969331,5.72329185,0.087877291,Opt Int,Host star,2011ApJ...743..158S,Diameter source,69.4005525,-2.473548611111111
HD181068A,HD 181068,HIP 94780,,19 17 08.9786,+41 15 53.314,G8III+G8V+K1V,Gaia DR3 2101454419072479488,GAIA,6.865626,0.002775,0.461,0.011,4.84,0.242,,4.2065,0.0322,237.7273268,1.819759877,11.80324705,0.2957771641,5114.018461,88.36882949,85.38904759,4.4651084,Opt Int,Not a host,2011Sci...332..216D,2018A&A…614A.125F,289.2874108333333,41.264809444444445
HD11977,* eta02 Hyi,HIP 8928,HR   570,01 54 56.1314,-67 38 50.291,G8IIIb,Gaia DR3 4697508196671120000,GAIA,4.419435,0.002936,1.528953336,0.007853246,44.17975395,1.237128531,,14.7444,0.0878,67.82235968,0.403868803,11.16833909,0.087827338,4881.014767,36.39649823,63.44065796,1.93047293,"Opt Int, Opt Int, Opt Int",Host star,"2012A&A...539A..58C, 2018A&A...616A..68G, 2019Natur.567..200P","2009ApJ…694..1085V, 2017AJ…153…136S",28.733880833333327,-67.64730305555557
HD27256,* alf Ret,HIP 19780,HR  1336,04 14 25.4700,-62 28 25.692,G8IIIa:,Gaia DR3 4676528209144882304,GAIA,3.125906,0.002938,2.618,0.077,119.939,5.992,,20.3431,0.1859,49.15671653,0.449205559,13.86034285,0.4268803827,4788.028188,92.37980671,90.47419965,4.812941585,Opt Int,Not a host,2012A&A...539A..58C,DERIVED ON OWN FROM DIAMTER PAPER,63.606125,-62.473803333333336
HD122563,HD 122563,HIP 68594,HR  5270,14 02 31.8455,+09 41 09.944,G8:III:Fe-5,Gaia DR3 3723554268436602240,GAIA,5.87496,0.002772,0.926477435,0.005361072,13.2,0.29,,3.0991,0.0332,322.6743248,3.4567415,32.19739392,0.3920256215,4635.829699,28.7786288,429.0435183,13.16627437,"Opt Int, Opt Int, Opt Int",Not a host,"2012A&A...545A..17C, 2018MNRAS.475L..81K, 2020A&A...640A..25K, https://ui.adsabs.harvard.edu/abs/2018MNRAS.475L..81K/abstract",Creevey et al. (2012),210.6326895833333,9.686095555555555
HD173667,* 110 Her,HIP 92043,HR  7061,18 45 39.7256,+20 32 46.713,F5.5IV-V,Gaia DR3 4530744134231683840,GAIA,4.078641,0.002914,1.0,0.006,52.31,0.08,,51.6743,0.1214,19.35197961,0.045464193,2.084235855,0.013429881,6295.751733,19.04002378,6.115530124,0.030218583,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),281.41552333333334,20.546309166666667
HD48737,* ksi Gem,HIP 32362,HR  2484,06 45 17.3643,+12 53 44.131,F5IV-V,Gaia DR3 3352485999058854912,GAIA,3.246348,0.003706,1.401,0.009,115.1,0.2,,54.1894,0.2369,18.45379355,0.080674517,2.784487406,0.021636623,6478.152643,20.99720733,12.23616242,0.109078023,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),101.32235124999998,12.895591944444444
HD90839,*  36 UMa,HIP 51459,HR  4112,10 30 37.5792,+55 58 49.939,F8V,Gaia DR3 853819947756949120,GAIA,4.673892,0.002822,0.794,0.014,31.1,0.2,,77.2485,0.0805,12.94523518,0.013490119,1.107010938,0.019553145,6204.135291,55.5984483,1.626967482,0.010998575,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),157.65658,55.980538611111115
HD58946,* rho Gem,HIP 36366,HR  2852,07 29 06.7188,+31 47 04.377,F1V,Gaia DR3 892160231749198848,GAIA,4.094832,0.003475,0.853,0.013,49.95,0.1,,56.1117,0.3924,17.82159514,0.124629871,1.637257805,0.027453858,6738.461808,51.45882384,4.952531353,0.069974038,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),112.27799499999999,31.784549166666668
HD162003,* psi01 Dra A,HIP 86614,HR  6636,17 41 56.0623,+72 08 55.927,F5IV-V,Gaia DR3 1651268660203160448,GAIA,4.444496,0.003536,0.949,0.025,37.04,0.04,,43.95,0.8625,22.75312856,0.446520441,2.325566689,0.076394243,5928.380253,78.10360154,5.986208146,0.2350424796,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),265.4835929166666,72.14886861111111
HD56537,* lam Gem,HIP 35350,HR  2763,07 18 05.5789,+16 32 25.389,A4IV,Gaia DR3 3168265196643846400,GAIA,3.579925,0.003708,0.6775414634,0.005447756,91.9,0.14,,32.6068,0.2062,30.66844953,0.193942193,2.237943733,0.022892769,8805.668921,35.55938223,26.9834668,0.3437446417,"Opt Int, Opt Int",Not a host,"2012ApJ...746..101B, 2014ApJ...797..119M",Boyajian et al. (2013),109.52324541666665,16.540385833333335
HD164259,* zet Ser,HIP 88175,HR  6710,18 00 29.0100,-03 41 24.977,F2V,Gaia DR3 4177224620176470912,GAIA,4.505628,0.002858,0.775,0.027,34.69,0.16,,43.4823,0.1324,22.9978635,0.070026588,1.919599638,0.067131317,6453.593959,112.6634663,5.727668548,0.043755493,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),270.12087499999996,-3.690271388888889
HD118098,* zet Vir,HIP 66249,HR  5107,13 34 41.5913,-00 35 44.939,A2Van,Gaia DR3 3662636823132300032,GAIA,3.373845,0.003239,0.852,0.009,103.9,0.2,,43.7467,0.333,22.85886707,0.174001759,2.097566613,0.027310896,8097.211872,42.94411485,16.94819866,0.260073789,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),203.6732970833333,-0.5958163888888889
HD81937,* h UMa,HIP 46733,HR  3757,09 31 31.7080,+63 03 42.695,F0V,Gaia DR3 1064092789129355136,GAIA,3.582016,0.003044,1.133,0.009,83.62,0.11,,42.0904,0.1616,23.75838671,0.091216888,2.899134217,0.025578193,6650.648568,26.505153,14.73474592,0.1147921541,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),142.88211666666666,63.061859722222216
HD141795,* eps Ser,HIP 77622,HR  5892,15 50 48.9662,+04 28 39.831,kA2hA5mA7V,Gaia DR3 4426032591025363200,GAIA,3.699778,0.003193,0.768,0.017,77.57,0.09,,45.3293,0.2499,22.06078629,0.121620905,1.824751261,0.041625521,7927.646047,87.77100146,11.78512954,0.130660057,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),237.70402583333333,4.477730833333333
HD213558,* alf Lac,HIP 111169,HR  8585,22 31 17.5014,+50 16 56.969,A1V,Gaia DR3 1988193348344678656,GAIA,3.783707,0.003284,0.634,0.021,89.78,0.15,,31.4943,0.2017,31.75177731,0.203348971,2.168097271,0.073143984,9050.06472,149.9304355,28.2562338,0.36499066,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),337.82292249999995,50.282491388888886
HD16895,* tet Per,HIP 12777,HR   799,02 44 11.9866,+49 13 42.414,F8V,Gaia DR3 438829629114680704,GAIA,3.983001,0.003267,1.103,0.008,58.05,0.08,,89.685,0.1638,11.15013659,0.020364524,1.324576863,0.009906997,6152.678377,22.41299178,2.253000009,0.008795955,"Opt Int, Opt Int",Not a host,"2012ApJ...746..101B, 2014ApJ...797..119M",Boyajian et al. (2013),41.04994416666666,49.22844833333333
HD5015,HD   5015,HIP 4151,HR   244,00 53 04.1964,+61 07 26.299,F9V,Gaia DR3 427322415301550208,GAIA,4.635912,0.002844,0.865,0.01,31.54,0.059,,52.9017,0.1037,18.90298421,0.037054376,1.761034823,0.020649376,5964.97712,34.59229831,3.518204067,0.01528272,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),13.267484999999997,61.12397194444444
HD20630,* kap01 Cet,HIP 15457,HR   996,03 19 21.6964,+03 22 12.714,G5V,Gaia DR3 3269362645115584640,GAIA,4.65649,0.003238,0.936,0.024,31.3,0.04,,107.8023,0.1838,9.276239932,0.015815738,0.93512418,0.024030492,5723.340361,73.3989387,0.8407887233,0.003061776,"Opt Int, Opt Int",Not a host,"2012ApJ...746..101B, 2014ApJ...797..119M",Boyajian et al. (2013),49.84040166666666,3.370198333333333
HD128167,* sig Boo,HIP 71284,HR  5447,14 34 40.8173,+29 44 42.457,F4VkF2mF1,Gaia DR3 1284257623084916480,GAIA,4.341964,0.002827,0.841,0.013,40.39,0.05,,63.4679,0.1173,15.75599634,0.029119892,1.427129331,0.022217383,6435.345661,49.77796426,3.130143081,0.012201748,Opt Int,Not a host,2012ApJ...746..101B,Boyajian et al. (2013),218.67007208333328,29.745126944444447
HD177724,* zet Aql,HIP 93747,HR  7235,19 05 24.6080,+13 51 48.518,A0IV-Vnn,Gaia DR3 4314399312979641728,GAIA,3.001118,0.003336,0.895,0.016,181.1,0.3,,38.2329,0.3492,26.15548389,0.238890981,2.521199773,0.050613439,9077.567952,81.22731349,38.67609005,0.7093948349,"Opt Int, Opt Int",Not a host,"2012ApJ...746..101B, 2014ApJ...797..119M",Boyajian et al. (2013),286.35253333333327,13.863477222222222
HIP92194,V* DR Ser,HIP 92194,,18 47 21.0231,+05 27 18.606,"C5,4",Gaia DR3 4285226383221001088,GAIA,7.741846,0.004948,3.447,0.005,,,-5.4,0.907,0.0321,1102.535832,39.0202869,409.3129273,14.49831957,2946.346126,0.0,11379.20288,0.0,Opt Int,Not a host,2013ApJ...775...45V,2002A&A…390…967B,281.83759625,5.455168333333334
HD181420,HD 181420,HIP 95055,,19 20 27.0720,-01 18 35.132,F6V,Gaia DR3 4262872315389630336,GAIA,6.473984,0.002779,0.34,0.001,6.0,0.2,,20.1954,0.0207,49.51622647,0.050753433,1.813209236,0.005647533,6283.47321,53.17135555,4.592455172,0.1533710548,Opt Int,Not a host,2012ApJ...760...32H,Huber et al. (2012),290.11279999999994,-1.309758888888889
HD187637,HD 187637,HIP 97527,,19 49 18.1388,+41 34 56.859,F8V,Gaia DR3 2076894387328378240,GAIA,7.417078,0.002765,0.231,0.005,2.55,0.05,,19.0274,0.0161,52.55578797,0.044469985,1.307537029,0.028323284,6155.034178,73.12739096,2.198770383,0.04327342,Opt Int,Not a host,2012ApJ...760...32H,Huber et al. (2012),297.3255783333333,41.582460833333336
HD175726,HD 175726,HIP 92984,,18 56 37.1723,+04 15 54.462,G0V,Gaia DR3 4281201414717499520,GAIA,6.577961,0.002795,0.346,0.005,5.4,0.1,,37.6151,0.027,26.58506823,0.019082678,0.9906844425,0.014333899,6066.829701,52.06186913,1.191428302,0.022129685,Opt Int,Not a host,2012ApJ...760...32H,Huber et al. (2012),284.15488458333334,4.265128333333333
HD177153,HD 177153,HIP 93427,,19 01 39.6780,+41 29 24.328,G0,Gaia DR3 2103877089862772352,GAIA,7.075103,0.002761,0.289,0.006,3.39,0.07,,24.1586,0.0142,41.39312709,0.024330152,1.288390591,0.026759312,5908.842539,68.50335803,1.813237809,0.037502116,Opt Int,Not a host,2012ApJ...760...32H,Huber et al. (2012),285.415325,41.49009111111111
